repeat,method,noise_mult,pi_s,rank,mape,aic,rss,beta_ranks,beta_dim
4,baseline,2,0.1,"[10, 10, 11]",2.6412255712102364,948.6200691837182,149.95488563057228,"(9, 8, 9)",648.0
4,baseline,2,0.3,"[2, 2, 3]",,inf,,None,
4,baseline,2,0.3,"[3, 3, 4]",0.061937839066653275,-144.2706077475618,0.06690308969544147,"(3, 2, 3)",18.0
4,baseline,2,0.3,"[4, 4, 5]",0.06751480305705695,-78.59761500510615,0.09286328541135767,"(4, 4, 4)",64.0
4,baseline,2,0.3,"[5, 5, 6]",0.1424101282992489,42.80316302137778,0.38547435341030895,"(4, 5, 5)",100.0
4,baseline,2,0.3,"[6, 6, 7]",0.2778029249410946,177.8525733352659,1.5907562873833987,"(5, 5, 6)",150.0
4,baseline,2,0.3,"[7, 7, 9]",1.3480391905505538,472.1261029176453,39.20359226302833,"(6, 6, 7)",252.0
4,baseline,2,0.3,"[8, 8, 9]",2.0134433177555193,607.9697145803851,82.77796557011976,"(7, 7, 7)",343.0
4,baseline,2,0.3,"[9, 9, 11]",1.4100003161961892,676.8307574608094,50.93308051528346,"(7, 7, 9)",441.0
4,baseline,2,0.3,"[10, 10, 11]",1.1513053816317924,778.6625074004548,29.30354377536985,"(8, 8, 9)",576.0
4,baseline,10,0.1,"[2, 2, 3]",0.06895102729716189,-142.60926278388274,0.08125569404033528,"(2, 2, 2)",8.0
4,baseline,10,0.1,"[3, 3, 4]",0.06781364779046427,-128.40773155150376,0.07501037368641361,"(3, 3, 3)",27.0
4,baseline,10,0.1,"[4, 4, 5]",0.07482390241461526,-92.71683239649542,0.0958203169333735,"(4, 3, 4)",48.0
4,baseline,10,0.1,"[5, 5, 6]",0.20042174156683337,87.43718958261971,0.8110868232058396,"(4, 5, 5)",100.0
4,baseline,10,0.1,"[6, 6, 7]",0.26502159324076985,192.1101194838248,1.2236464872039,"(5, 6, 6)",180.0
4,baseline,10,0.1,"[7, 7, 9]",0.7579365310408249,395.28501234058257,10.892598686499769,"(6, 6, 7)",252.0
4,baseline,10,0.1,"[8, 8, 9]",0.5761883210061591,499.16159244490194,5.96570084037735,"(7, 7, 8)",392.0
4,baseline,10,0.1,"[9, 9, 11]",0.45833476891358294,651.8565982426036,3.5405307219972304,"(8, 8, 9)",576.0
4,baseline,10,0.1,"[10, 10, 11]",0.42653373527265814,647.7709132020026,3.3074645097002406,"(8, 8, 9)",576.0
4,baseline,10,0.3,"[2, 2, 3]",0.0823541597782337,-124.09427904787827,0.1106291881414802,"(2, 2, 2)",8.0
4,baseline,10,0.3,"[3, 3, 4]",0.06802563775632577,-118.99199620549427,0.0755319195361483,"(3, 3, 4)",36.0
4,baseline,10,0.3,"[4, 4, 5]",0.05148364170723817,-147.7338533598526,0.04678321055117314,"(3, 3, 4)",36.0
4,baseline,10,0.3,"[5, 5, 6]",0.10077691820042285,-23.238985584015765,0.17894983573050818,"(4, 4, 5)",80.0
4,baseline,10,0.3,"[6, 6, 7]",0.5685992550993978,252.64721369503033,5.533313901533527,"(5, 5, 6)",150.0
4,baseline,10,0.3,"[7, 7, 9]",0.3204835286612825,323.70381790272376,1.8131463148937605,"(6, 6, 8)",288.0
